"","year","party","national_two_party_vote_share","state","two_party_vote_share"
"703",1996,"Republican",45.2725250278087,"Rhode Island",30.9957866125016
"704",1996,"Republican",45.2725250278087,"South Carolina",53.1119759219855
"705",1996,"Republican",45.2725250278087,"South Dakota",51.9335853951345
"706",1996,"Republican",45.2725250278087,"Tennessee",48.7133576581394
"707",1996,"Republican",45.2725250278087,"Texas",52.6606233821223
"708",1996,"Republican",45.2725250278087,"Utah",62.0194878192561
"709",1996,"Republican",45.2725250278087,"Vermont",36.817169615938
"710",1996,"Republican",45.2725250278087,"Virginia",51.0605945070669
"711",1996,"Republican",45.2725250278087,"Washington",42.8053471552187
"712",1996,"Republican",45.2725250278087,"West Virginia",41.6453348238921
"713",1996,"Republican",45.2725250278087,"Wisconsin",44.0808033385498
"714",1996,"Republican",45.2725250278087,"Wyoming",57.487917434896
"715",1992,"Democrat",53.4825870646766,"Alabama",46.178873540097
"716",1992,"Democrat",53.4825870646766,"Alaska",43.4257379613298
"717",1992,"Democrat",53.4825870646766,"Arizona",48.6980960169881
"718",1992,"Democrat",53.4825870646766,"Arkansas",59.9922670661225
"719",1992,"Democrat",53.4825870646766,"California",58.5167287693791
"720",1992,"Democrat",53.4825870646766,"Colorado",52.802065522825
"721",1992,"Democrat",53.4825870646766,"Connecticut",54.1251167074267
"722",1992,"Democrat",53.4825870646766,"Delaware",55.1979927047253
"723",1992,"Democrat",53.4825870646766,"District Of Columbia",90.2970696193927
"724",1992,"Democrat",53.4825870646766,"Florida",48.803158910419
"725",1992,"Democrat",53.4825870646766,"Georgia",50.3421284510966
"726",1992,"Democrat",53.4825870646766,"Hawaii",56.7199777308213
"727",1992,"Democrat",53.4825870646766,"Idaho",40.3385169788434
"728",1992,"Democrat",53.4825870646766,"Illinois",58.5882182122468
"729",1992,"Democrat",53.4825870646766,"Indiana",46.1651054660612
"730",1992,"Democrat",53.4825870646766,"Iowa",53.7325291135621
"731",1992,"Democrat",53.4825870646766,"Kansas",46.4589444123824
"732",1992,"Democrat",53.4825870646766,"Kentucky",51.868777694766
"733",1992,"Democrat",53.4825870646766,"Louisiana",52.6651378604156
"734",1992,"Democrat",53.4825870646766,"Maine",56.0558728645483
"735",1992,"Democrat",53.4825870646766,"Maryland",58.2999000392177
"736",1992,"Democrat",53.4825870646766,"Massachusetts",62.0922286712016
"737",1992,"Democrat",53.4825870646766,"Michigan",54.6151596469711
"738",1992,"Democrat",53.4825870646766,"Minnesota",57.7213402244864
"739",1992,"Democrat",53.4825870646766,"Mississippi",45.0715105326158
"740",1992,"Democrat",53.4825870646766,"Missouri",56.5069661003136
"741",1992,"Democrat",53.4825870646766,"Montana",51.7240571248753
"742",1992,"Democrat",53.4825870646766,"Nebraska",38.6882695676684
"743",1992,"Democrat",53.4825870646766,"Nevada",51.8247775196177
"744",1992,"Democrat",53.4825870646766,"New Hampshire",50.7965513554495
"745",1992,"Democrat",53.4825870646766,"New Jersey",51.4203183520934
"746",1992,"Democrat",53.4825870646766,"New Mexico",55.1421567697564
"747",1992,"Democrat",53.4825870646766,"New York",62.1108254042249
"748",1992,"Democrat",53.4825870646766,"North Carolina",49.5415357208133
"749",1992,"Democrat",53.4825870646766,"North Dakota",42.1252952270912
"750",1992,"Democrat",53.4825870646766,"Ohio",51.1681633469545
"751",1992,"Democrat",53.4825870646766,"Oklahoma",44.3778816973813
"752",1992,"Democrat",53.4825870646766,"Oregon",56.6338915165928
"753",1992,"Democrat",53.4825870646766,"Pennsylvania",55.5485294610153
"754",1992,"Democrat",53.4825870646766,"Rhode Island",61.8437228182082
"755",1992,"Democrat",53.4825870646766,"South Carolina",47.6431545727597
"756",1992,"Democrat",53.4825870646766,"South Dakota",47.7389662316614
"757",1992,"Democrat",53.4825870646766,"Tennessee",52.598036647076
"758",1992,"Democrat",53.4825870646766,"Texas",47.7578368341145
"759",1992,"Democrat",53.4825870646766,"Utah",36.2464208860197
"760",1992,"Democrat",53.4825870646766,"Vermont",60.2542013585069
"761",1992,"Democrat",53.4825870646766,"Virginia",47.4449870658566
"762",1992,"Democrat",53.4825870646766,"Washington",57.5917010725112
"763",1992,"Democrat",53.4825870646766,"West Virginia",57.7688380819407
"764",1992,"Democrat",53.4825870646766,"Wisconsin",52.7945085021154
"765",1992,"Democrat",53.4825870646766,"Wyoming",46.2079765706034
"766",1992,"Republican",46.5174129353234,"Alabama",53.821126459903
"767",1992,"Republican",46.5174129353234,"Alaska",56.5742620386702
"768",1992,"Republican",46.5174129353234,"Arizona",51.3019039830119
"769",1992,"Republican",46.5174129353234,"Arkansas",40.0077329338775
"770",1992,"Republican",46.5174129353234,"California",41.4832712306209
"771",1992,"Republican",46.5174129353234,"Colorado",47.197934477175
"772",1992,"Republican",46.5174129353234,"Connecticut",45.8748832925733
"773",1992,"Republican",46.5174129353234,"Delaware",44.8020072952747
"774",1992,"Republican",46.5174129353234,"District Of Columbia",9.70293038060726
"775",1992,"Republican",46.5174129353234,"Florida",51.196841089581
"776",1992,"Republican",46.5174129353234,"Georgia",49.6578715489034
"777",1992,"Republican",46.5174129353234,"Hawaii",43.2800222691787
"778",1992,"Republican",46.5174129353234,"Idaho",59.6614830211566
"779",1992,"Republican",46.5174129353234,"Illinois",41.4117817877532
"780",1992,"Republican",46.5174129353234,"Indiana",53.8348945339388
"781",1992,"Republican",46.5174129353234,"Iowa",46.2674708864379
"782",1992,"Republican",46.5174129353234,"Kansas",53.5410555876176
"783",1992,"Republican",46.5174129353234,"Kentucky",48.131222305234
"784",1992,"Republican",46.5174129353234,"Louisiana",47.3348621395844
"785",1992,"Republican",46.5174129353234,"Maine",43.9441271354517
"786",1992,"Republican",46.5174129353234,"Maryland",41.7000999607823
"787",1992,"Republican",46.5174129353234,"Massachusetts",37.9077713287984
"788",1992,"Republican",46.5174129353234,"Michigan",45.3848403530289
"789",1992,"Republican",46.5174129353234,"Minnesota",42.2786597755136
"790",1992,"Republican",46.5174129353234,"Mississippi",54.9284894673842
"791",1992,"Republican",46.5174129353234,"Missouri",43.4930338996864
"792",1992,"Republican",46.5174129353234,"Montana",48.2759428751247
"793",1992,"Republican",46.5174129353234,"Nebraska",61.3117304323316
"794",1992,"Republican",46.5174129353234,"Nevada",48.1752224803823
"795",1992,"Republican",46.5174129353234,"New Hampshire",49.2034486445505
"796",1992,"Republican",46.5174129353234,"New Jersey",48.5796816479066
"797",1992,"Republican",46.5174129353234,"New Mexico",44.8578432302436
"798",1992,"Republican",46.5174129353234,"New York",37.8891745957751
"799",1992,"Republican",46.5174129353234,"North Carolina",50.4584642791867
"800",1992,"Republican",46.5174129353234,"North Dakota",57.8747047729088
"801",1992,"Republican",46.5174129353234,"Ohio",48.8318366530455
"802",1992,"Republican",46.5174129353234,"Oklahoma",55.6221183026187
"803",1992,"Republican",46.5174129353234,"Oregon",43.3661084834072
"804",1992,"Republican",46.5174129353234,"Pennsylvania",44.4514705389847
"805",1992,"Republican",46.5174129353234,"Rhode Island",38.1562771817918
"806",1992,"Republican",46.5174129353234,"South Carolina",52.3568454272403
"807",1992,"Republican",46.5174129353234,"South Dakota",52.2610337683386
"808",1992,"Republican",46.5174129353234,"Tennessee",47.401963352924
"809",1992,"Republican",46.5174129353234,"Texas",52.2421631658855
"810",1992,"Republican",46.5174129353234,"Utah",63.7535791139803
"811",1992,"Republican",46.5174129353234,"Vermont",39.7457986414931
"812",1992,"Republican",46.5174129353234,"Virginia",52.5550129341434
